Cell_no.	Sw	Sn	k	phi	vol	alpha	n	Swr	Snr	Snr_m	Ss
default	1.05	0	1.00E-13	0.25	1.00E+01	0.0001	2.5	0.15	0	0.02	0.0001
0	1.06	0	1.54003E-13	0.25	1E+30	0.000185122	1.818890697	0.142318348	0	0.02	0.001
1	1.05979798	0	4.65866E-13	0.25	10	0.000214456	1.969432681	0.119072895	0	0.02	0.001
2	1.05959596	0	2.85351E-13	0.25	10	0.000201466	1.902768711	0.129366596	0	0.02	0.001
3	1.059393939	0	2.85351E-13	0.25	10	0.000201466	1.902768711	0.129366596	0	0.02	0.001
4	1.059191919	0	1.52278E-12	0.25	10	0.000245842	2.130510719	0.094200551	0	0.02	0.001
5	1.058989899	0	2.48777E-12	0.25	10	0.00025885	2.197265922	0.083892762	0	0.02	0.001
6	1.058787879	0	9.7854E-13	0.25	10	0.000234123	2.070366921	0.103487461	0	0.02	0.001
7	1.058585859	0	9.7854E-13	0.25	10	0.000234123	2.070366921	0.103487461	0	0.02	0.001
8	1.058383838	0	1.20099E-12	0.25	10	0.000239551	2.098224763	0.099185882	0	0.02	0.001
9	1.058181818	0	1.20099E-12	0.25	10	0.000239551	2.098224763	0.099185882	0	0.02	0.001
10	1.057979798	0	4.39246E-12	0.25	10	0.000273915	2.274582387	0.07195419	0	0.02	0.001
11	1.057777778	0	4.35631E-13	0.25	10	0.000212677	1.960306878	0.120482026	0	0.02	0.001
12	1.057575758	0	2.31139E-12	0.25	10	0.000256901	2.187264763	0.085437059	0	0.02	0.001
13	1.057373737	0	2.01364E-12	0.25	10	0.000253246	2.168509987	0.088333017	0	0.02	0.001
14	1.057171717	0	2.01364E-12	0.25	10	0.000253246	2.168509987	0.088333017	0	0.02	0.001
15	1.056969697	0	1.95071E-12	0.25	10	0.000252405	2.164191793	0.088999797	0	0.02	0.001
16	1.056767677	0	7.00736E-12	0.25	10	0.000286292	2.338103975	0.06214571	0	0.02	0.001
17	1.056565657	0	7.00736E-12	0.25	10	0.000286292	2.338103975	0.06214571	0	0.02	0.001
18	1.056363636	0	1.02152E-12	0.25	10	0.000235262	2.076212564	0.102584825	0	0.02	0.001
19	1.056161616	0	6.12162E-13	0.25	10	0.000221693	2.006574098	0.113337823	0	0.02	0.001
20	1.055959596	0	9.39657E-13	0.25	10	0.000233048	2.064852643	0.10433893	0	0.02	0.001
21	1.055757576	0	9.39657E-13	0.25	10	0.000233048	2.064852643	0.10433893	0	0.02	0.001
22	1.055555556	0	2.67833E-13	0.25	10	0.000199787	1.894151901	0.130697133	0	0.02	0.001
23	1.055353535	0	9.6521E-14	0.25	10	0.000172741	1.755350061	0.15212977	0	0.02	0.001
24	1.055151515	0	1.47343E-12	0.25	10	0.000244969	2.126030131	0.094892406	0	0.02	0.001
25	1.054949495	0	5.66565E-13	0.25	10	0.000219642	1.996047056	0.114963322	0	0.02	0.001
26	1.054747475	0	1.57173E-13	0.25	10	0.000185662	1.821661445	0.141890512	0	0.02	0.001
27	1.054545455	0	3.75121E-14	0.25	10	0.000147696	1.626816896	0.171976803	0	0.02	0.001
28	1.054343434	0	3.69411E-14	0.25	10	0.000147289	1.62473068	0.172298939	0	0.02	0.001
29	1.054141414	0	1.51198E-13	0.25	10	0.000184635	1.816391305	0.142704284	0	0.02	0.001
30	1.053939394	0	1.85407E-14	0.25	10	0.000129021	1.530978039	0.18677545	0	0.02	0.001
31	1.053737374	0	8.03906E-13	0.25	10	0.000228914	2.043632259	0.107615607	0	0.02	0.001
32	1.053535354	0	7.86246E-14	0.25	10	0.000167306	1.72745972	0.156436367	0	0.02	0.001
33	1.053333333	0	4.74259E-14	0.25	10	0.00015391	1.65870956	0.1670522	0	0.02	0.001
34	1.053131313	0	4.26501E-14	0.25	10	0.000151098	1.64427473	0.169281108	0	0.02	0.001
35	1.052929293	0	4.26501E-14	0.25	10	0.000151098	1.64427473	0.169281108	0	0.02	0.001
36	1.052727273	0	4.26501E-14	0.25	10	0.000151098	1.64427473	0.169281108	0	0.02	0.001
37	1.052525253	0	1.21373E-14	0.25	10	0.000117794	1.473357517	0.195672736	0	0.02	0.001
38	1.052323232	0	3.76976E-14	0.25	10	0.000147827	1.627487835	0.171873202	0	0.02	0.001
39	1.052121212	0	1.29227E-14	0.25	10	0.000119455	1.481884164	0.194356122	0	0.02	0.001
40	1.051919192	0	1.29227E-14	0.25	10	0.000119455	1.481884164	0.194356122	0	0.02	0.001
41	1.051717172	0	1.97803E-14	0.25	10	0.000130737	1.539780138	0.185416302	0	0.02	0.001
42	1.051515152	0	1.62535E-13	0.25	10	0.000186551	1.826224282	0.141185956	0	0.02	0.001
43	1.051313131	0	1.41604E-14	0.25	10	0.000121879	1.494323327	0.192435369	0	0.02	0.001
44	1.051111111	0	1.41604E-14	0.25	10	0.000121879	1.494323327	0.192435369	0	0.02	0.001
45	1.050909091	0	3.69367E-14	0.25	10	0.000147286	1.624714522	0.172301434	0	0.02	0.001
46	1.050707071	0	4.2025E-14	0.25	10	0.000150706	1.642266663	0.169591177	0	0.02	0.001
47	1.050505051	0	3.14962E-14	0.25	10	0.000143064	1.603044359	0.175647562	0	0.02	0.001
48	1.05030303	0	2.27045E-13	0.25	10	0.000195409	1.871682531	0.134166668	0	0.02	0.001
49	1.05010101	0	7.75144E-14	0.25	10	0.00016693	1.725525695	0.156735003	0	0.02	0.001
50	1.04989899	0	6.68118E-14	0.25	10	0.000162992	1.705318208	0.159855277	0	0.02	0.001
51	1.04969697	0	6.68118E-14	0.25	10	0.000162992	1.705318208	0.159855277	0	0.02	0.001
52	1.049494949	0	2.61724E-14	0.25	10	0.000138157	1.577862777	0.179535895	0	0.02	0.001
53	1.049292929	0	2.61724E-14	0.25	10	0.000138157	1.577862777	0.179535895	0	0.02	0.001
54	1.049090909	0	2.01212E-14	0.25	10	0.000131189	1.54210378	0.185057505	0	0.02	0.001
55	1.048888889	0	2.50233E-14	0.25	10	0.000136967	1.571756161	0.180478828	0	0.02	0.001
56	1.048686869	0	9.92375E-15	0.25	10	0.000112458	1.445973213	0.199901195	0	0.02	0.001
57	1.048484848	0	1.35044E-14	0.25	10	0.000120622	1.487872251	0.193431491	0	0.02	0.001
58	1.048282828	0	1.35044E-14	0.25	10	0.000120622	1.487872251	0.193431491	0	0.02	0.001
59	1.048080808	0	1.54958E-14	0.25	10	0.000124267	1.506579816	0.190542822	0	0.02	0.001
60	1.047878788	0	1.84653E-14	0.25	10	0.000128913	1.530423866	0.186861021	0	0.02	0.001
61	1.047676768	0	1.65875E-14	0.25	10	0.000126072	1.515838912	0.189113109	0	0.02	0.001
62	1.047474747	0	1.90095E-14	0.25	10	0.000129683	1.534374301	0.186251027	0	0.02	0.001
63	1.047272727	0	3.72746E-14	0.25	10	0.000147528	1.625952872	0.172110218	0	0.02	0.001
64	1.047070707	0	8.9215E-14	0.25	10	0.000170655	1.744645304	0.15378271	0	0.02	0.001
65	1.046868687	0	1.30387E-13	0.25	10	0.000180711	1.796251995	0.14581403	0	0.02	0.001
66	1.046666667	0	4.92856E-13	0.25	10	0.000215948	1.977092088	0.117890192	0	0.02	0.001
67	1.046464646	0	3.85511E-13	0.25	10	0.000209438	1.943684056	0.123048785	0	0.02	0.001
68	1.046262626	0	6.68055E-13	0.25	10	0.000224008	2.018457067	0.111502953	0	0.02	0.001
69	1.046060606	0	8.77438E-13	0.25	10	0.000231233	2.055535532	0.105777602	0	0.02	0.001
70	1.045858586	0	3.26523E-13	0.25	10	0.000205038	1.921098525	0.126536257	0	0.02	0.001
71	1.045656566	0	3.26523E-13	0.25	10	0.000205038	1.921098525	0.126536257	0	0.02	0.001
72	1.045454545	0	5.91343E-13	0.25	10	0.000220776	2.001868421	0.114064435	0	0.02	0.001
73	1.045252525	0	2.25304E-13	0.25	10	0.000195205	1.870635913	0.134328278	0	0.02	0.001
74	1.045050505	0	3.03719E-13	0.25	10	0.000203119	1.91125243	0.12805661	0	0.02	0.001
75	1.044848485	0	1.05648E-13	0.25	10	0.000175135	1.767638145	0.150232345	0	0.02	0.001
76	1.044646465	0	1.05648E-13	0.25	10	0.000175135	1.767638145	0.150232345	0	0.02	0.001
77	1.044444444	0	2.92938E-13	0.25	10	0.000202161	1.906337498	0.128815533	0	0.02	0.001
78	1.044242424	0	2.39032E-13	0.25	10	0.000196772	1.87867971	0.133086221	0	0.02	0.001
79	1.044040404	0	2.39032E-13	0.25	10	0.000196772	1.87867971	0.133086221	0	0.02	0.001
80	1.043838384	0	1.53244E-13	0.25	10	0.000184991	1.818219198	0.142422036	0	0.02	0.001
81	1.043636364	0	2.14099E-13	0.25	10	0.000193853	1.863698165	0.135399548	0	0.02	0.001
82	1.043434343	0	2.48323E-13	0.25	10	0.000197783	1.883866102	0.132285381	0	0.02	0.001
83	1.043232323	0	2.07442E-13	0.25	10	0.000193016	1.859402165	0.136062901	0	0.02	0.001
84	1.043030303	0	1.24713E-13	0.25	10	0.000179532	1.790200905	0.14674839	0	0.02	0.001
85	1.042828283	0	2.68973E-13	0.25	10	0.0001999	1.894729783	0.130607901	0	0.02	0.001
86	1.042626263	0	2.68973E-13	0.25	10	0.0001999	1.894729783	0.130607901	0	0.02	0.001
87	1.042424242	0	2.68973E-13	0.25	10	0.0001999	1.894729783	0.130607901	0	0.02	0.001
88	1.042222222	0	2.04045E-13	0.25	10	0.000192578	1.857156593	0.136409644	0	0.02	0.001
89	1.042020202	0	1.32811E-14	0.25	10	0.00012018	1.485605029	0.193781576	0	0.02	0.001
90	1.041818182	0	8.72533E-13	0.25	10	0.000231084	2.054773001	0.105895345	0	0.02	0.001
91	1.041616162	0	2.60837E-12	0.25	10	0.000260104	2.203703811	0.082898676	0	0.02	0.001
92	1.041414141	0	9.40847E-14	0.25	10	0.000172064	1.751873199	0.152666638	0	0.02	0.001
93	1.041212121	0	2.20348E-13	0.25	10	0.000194615	1.867610658	0.134795413	0	0.02	0.001
94	1.041010101	0	2.9551E-12	0.25	10	0.000263411	2.220677886	0.080277679	0	0.02	0.001
95	1.040808081	0	1.78069E-12	0.25	10	0.000249988	2.151789601	0.090914841	0	0.02	0.001
96	1.040606061	0	5.08659E-14	0.25	10	0.000155766	1.668232885	0.165581687	0	0.02	0.001
97	1.04040404	0	5.08659E-14	0.25	10	0.000155766	1.668232885	0.165581687	0	0.02	0.001
98	1.04020202	0	1.12835E-13	0.25	10	0.000176879	1.776588392	0.148850322	0	0.02	0.001
99	1.04	0	1.24275E-14	0.25	1E+30	0.00011842	1.476570557	0.195176605	0	0.02	0.001
100	1.06	0	5.48959E-13	0.25	1E+30	0.000218805	1.991753845	0.115626245	0	0.02	0.001
101	1.05979798	0	4.63352E-13	0.25	10	0.000214312	1.968696773	0.119186528	0	0.02	0.001
102	1.05959596	0	3.95275E-13	0.25	10	0.000210101	1.947085729	0.122523527	0	0.02	0.001
103	1.059393939	0	3.56698E-13	0.25	10	0.00020738	1.93311957	0.124680066	0	0.02	0.001
104	1.059191919	0	3.56698E-13	0.25	10	0.00020738	1.93311957	0.124680066	0	0.02	0.001
105	1.058989899	0	3.20022E-13	0.25	10	0.000204505	1.918363401	0.126958592	0	0.02	0.001
106	1.058787879	0	7.84969E-13	0.25	10	0.000228282	2.040390245	0.108116212	0	0.02	0.001
107	1.058585859	0	7.84969E-13	0.25	10	0.000228282	2.040390245	0.108116212	0	0.02	0.001
108	1.058383838	0	3.37324E-12	0.25	10	0.000266919	2.238676214	0.077498526	0	0.02	0.001
109	1.058181818	0	2.93018E-12	0.25	10	0.000263187	2.21952609	0.08045553	0	0.02	0.001
110	1.057979798	0	3.23849E-12	0.25	10	0.000265838	2.233131896	0.078354634	0	0.02	0.001
111	1.057777778	0	1.19842E-11	0.25	10	0.000300513	2.411084872	0.050876601	0	0.02	0.001
112	1.057575758	0	1.11453E-11	0.25	10	0.00029859	2.401215822	0.052400498	0	0.02	0.001
113	1.057373737	0	1.92587E-12	0.25	10	0.000252065	2.162448876	0.089268924	0	0.02	0.001
114	1.057171717	0	1.00196E-11	0.25	10	0.000295768	2.386735169	0.054636481	0	0.02	0.001
115	1.056969697	0	4.7317E-12	0.25	10	0.000275886	2.284699926	0.070391923	0	0.02	0.001
116	1.056767677	0	4.8635E-13	0.25	10	0.000215596	1.975284785	0.118169261	0	0.02	0.001
117	1.056565657	0	4.8635E-13	0.25	10	0.000215596	1.975284785	0.118169261	0	0.02	0.001
118	1.056363636	0	2.148E-13	0.25	10	0.00019394	1.864142656	0.135330913	0	0.02	0.001
119	1.056161616	0	1.28648E-12	0.25	10	0.000241373	2.107576589	0.09774185	0	0.02	0.001
120	1.055959596	0	6.83802E-13	0.25	10	0.000224626	2.021625578	0.111013698	0	0.02	0.001
121	1.055757576	0	1.27057E-12	0.25	10	0.000241044	2.105884339	0.098003154	0	0.02	0.001
122	1.055555556	0	7.03753E-14	0.25	10	0.000164369	1.712385083	0.158764068	0	0.02	0.001
123	1.055353535	0	7.03753E-14	0.25	10	0.000164369	1.712385083	0.158764068	0	0.02	0.001
124	1.055151515	0	1.58167E-13	0.25	10	0.000185829	1.822519325	0.141758045	0	0.02	0.001
125	1.054949495	0	1.23425E-13	0.25	10	0.000179257	1.788788878	0.146966423	0	0.02	0.001
126	1.054747475	0	1.23425E-13	0.25	10	0.000179257	1.788788878	0.146966423	0	0.02	0.001
127	1.054545455	0	1.11385E-13	0.25	10	0.000176537	1.774829697	0.149121885	0	0.02	0.001
128	1.054343434	0	1.11385E-13	0.25	10	0.000176537	1.774829697	0.149121885	0	0.02	0.001
129	1.054141414	0	1.01232E-13	0.25	10	0.000174004	1.761830544	0.151129107	0	0.02	0.001
130	1.053939394	0	1.01232E-13	0.25	10	0.000174004	1.761830544	0.151129107	0	0.02	0.001
131	1.053737374	0	2.82892E-14	0.25	10	0.000140218	1.588439814	0.177902676	0	0.02	0.001
132	1.053535354	0	3.326E-14	0.25	10	0.000144508	1.610454751	0.17450331	0	0.02	0.001
133	1.053333333	0	3.326E-14	0.25	10	0.000144508	1.610454751	0.17450331	0	0.02	0.001
134	1.053131313	0	3.65711E-14	0.25	10	0.000147023	1.623361908	0.172510294	0	0.02	0.001
135	1.052929293	0	4.1855E-14	0.25	10	0.000150599	1.641715341	0.169676308	0	0.02	0.001
136	1.052727273	0	3.27128E-14	0.25	10	0.000144068	1.608198698	0.174851672	0	0.02	0.001
137	1.052525253	0	3.27128E-14	0.25	10	0.000144068	1.608198698	0.174851672	0	0.02	0.001
138	1.052323232	0	1.68475E-14	0.25	10	0.000126484	1.517954219	0.188786481	0	0.02	0.001
139	1.052121212	0	5.08703E-14	0.25	10	0.000155768	1.668244515	0.165579891	0	0.02	0.001
140	1.051919192	0	1.32039E-13	0.25	10	0.000181044	1.797963469	0.145549759	0	0.02	0.001
141	1.051717172	0	4.02343E-14	0.25	10	0.000149552	1.636344585	0.170505616	0	0.02	0.001
142	1.051515152	0	5.87343E-14	0.25	10	0.000159577	1.687793745	0.16256126	0	0.02	0.001
143	1.051313131	0	5.87343E-14	0.25	10	0.000159577	1.687793745	0.16256126	0	0.02	0.001
144	1.051111111	0	5.87343E-14	0.25	10	0.000159577	1.687793745	0.16256126	0	0.02	0.001
145	1.050909091	0	3.25433E-14	0.25	10	0.00014393	1.607492344	0.174960741	0	0.02	0.001
146	1.050707071	0	3.25433E-14	0.25	10	0.00014393	1.607492344	0.174960741	0	0.02	0.001
147	1.050505051	0	5.62117E-14	0.25	10	0.000158414	1.681823535	0.163483131	0	0.02	0.001
148	1.05030303	0	3.2097E-14	0.25	10	0.000143565	1.605614304	0.175250733	0	0.02	0.001
149	1.05010101	0	4.53722E-14	0.25	10	0.000152737	1.652688975	0.16798185	0	0.02	0.001
150	1.04989899	0	2.99513E-13	0.25	10	0.00020275	1.909355944	0.12834945	0	0.02	0.001
151	1.04969697	0	2.99513E-13	0.25	10	0.00020275	1.909355944	0.12834945	0	0.02	0.001
152	1.049494949	0	6.76448E-14	0.25	10	0.00016332	1.707003315	0.159595076	0	0.02	0.001
153	1.049292929	0	2.58657E-14	0.25	10	0.000137845	1.576259197	0.179783506	0	0.02	0.001
154	1.049090909	0	2.58657E-14	0.25	10	0.000137845	1.576259197	0.179783506	0	0.02	0.001
155	1.048888889	0	2.49478E-14	0.25	10	0.000136887	1.571345365	0.18054226	0	0.02	0.001
156	1.048686869	0	2.09487E-14	0.25	10	0.000132257	1.547585021	0.184211136	0	0.02	0.001
157	1.048484848	0	1.6571E-14	0.25	10	0.000126045	1.515703171	0.189134069	0	0.02	0.001
158	1.048282828	0	1.64471E-14	0.25	10	0.000125846	1.514682928	0.189291607	0	0.02	0.001
159	1.048080808	0	1.64471E-14	0.25	10	0.000125846	1.514682928	0.189291607	0	0.02	0.001
160	1.047878788	0	2.18193E-14	0.25	10	0.000133336	1.553122975	0.183356011	0	0.02	0.001
161	1.047676768	0	2.52756E-14	0.25	10	0.000137233	1.57312099	0.180268082	0	0.02	0.001
162	1.047474747	0	5.62994E-14	0.25	10	0.000158455	1.682035706	0.163450369	0	0.02	0.001
163	1.047272727	0	5.62994E-14	0.25	10	0.000158455	1.682035706	0.163450369	0	0.02	0.001
164	1.047070707	0	2.37788E-13	0.25	10	0.000196634	1.877970175	0.133195782	0	0.02	0.001
165	1.046868687	0	2.37788E-13	0.25	10	0.000196634	1.877970175	0.133195782	0	0.02	0.001
166	1.046666667	0	5.76E-13	0.25	10	0.000220079	1.998293298	0.114616476	0	0.02	0.001
167	1.046464646	0	1.16405E-12	0.25	10	0.000238723	2.09397664	0.099841842	0	0.02	0.001
168	1.046262626	0	1.00327E-12	0.25	10	0.000234784	2.073761113	0.102963358	0	0.02	0.001
169	1.046060606	0	1.00327E-12	0.25	10	0.000234784	2.073761113	0.102963358	0	0.02	0.001
170	1.045858586	0	1.97042E-13	0.25	10	0.000191653	1.852407433	0.13714297	0	0.02	0.001
171	1.045656566	0	1.97042E-13	0.25	10	0.000191653	1.852407433	0.13714297	0	0.02	0.001
172	1.045454545	0	1.97042E-13	0.25	10	0.000191653	1.852407433	0.13714297	0	0.02	0.001
173	1.045252525	0	1.29066E-13	0.25	10	0.000180441	1.794866956	0.146027897	0	0.02	0.001
174	1.045050505	0	1.81054E-13	0.25	10	0.00018941	1.840898766	0.138920043	0	0.02	0.001
175	1.044848485	0	2.15356E-13	0.25	10	0.000194008	1.864494518	0.135276582	0	0.02	0.001
176	1.044646465	0	2.15356E-13	0.25	10	0.000194008	1.864494518	0.135276582	0	0.02	0.001
177	1.044444444	0	1.91678E-13	0.25	10	0.000190921	1.848653701	0.13772259	0	0.02	0.001
178	1.044242424	0	5.55511E-14	0.25	10	0.000158101	1.680215911	0.163731367	0	0.02	0.001
179	1.044040404	0	5.55511E-14	0.25	10	0.000158101	1.680215911	0.163731367	0	0.02	0.001
180	1.043838384	0	5.55511E-14	0.25	10	0.000158101	1.680215911	0.163731367	0	0.02	0.001
181	1.043636364	0	6.43781E-13	0.25	10	0.000223027	2.013423419	0.112280207	0	0.02	0.001
182	1.043434343	0	6.43781E-13	0.25	10	0.000223027	2.013423419	0.112280207	0	0.02	0.001
183	1.043232323	0	1.51783E-13	0.25	10	0.000184737	1.816915909	0.142623279	0	0.02	0.001
184	1.043030303	0	1.51783E-13	0.25	10	0.000184737	1.816915909	0.142623279	0	0.02	0.001
185	1.042828283	0	4.06301E-14	0.25	10	0.000149812	1.637675779	0.170300064	0	0.02	0.001
186	1.042626263	0	5.36019E-13	0.25	10	0.000218173	1.988509743	0.116127172	0	0.02	0.001
187	1.042424242	0	5.36019E-13	0.25	10	0.000218173	1.988509743	0.116127172	0	0.02	0.001
188	1.042222222	0	5.52402E-13	0.25	10	0.000218971	1.992604264	0.11549493	0	0.02	0.001
189	1.042020202	0	1.7483E-13	0.25	10	0.000188483	1.836140983	0.139654701	0	0.02	0.001
190	1.041818182	0	2.64125E-13	0.25	10	0.000199418	1.892256232	0.130989847	0	0.02	0.001
191	1.041616162	0	3.41518E-13	0.25	10	0.000206227	1.927205094	0.125593331	0	0.02	0.001
192	1.041414141	0	5.47144E-13	0.25	10	0.000218717	1.991303411	0.115695797	0	0.02	0.001
193	1.041212121	0	5.47144E-13	0.25	10	0.000218717	1.991303411	0.115695797	0	0.02	0.001
194	1.041010101	0	3.99315E-13	0.25	10	0.000210371	1.948468581	0.122309999	0	0.02	0.001
195	1.040808081	0	2.21842E-14	0.25	10	0.000133776	1.555378315	0.18300776	0	0.02	0.001
196	1.040606061	0	1.81251E-13	0.25	10	0.000189439	1.841046782	0.138897188	0	0.02	0.001
197	1.04040404	0	4.55304E-12	0.25	10	0.000274866	2.279465586	0.071200167	0	0.02	0.001
198	1.04020202	0	4.55304E-12	0.25	10	0.000274866	2.279465586	0.071200167	0	0.02	0.001
199	1.04	0	7.38641E-12	0.25	1E+30	0.000287688	2.345268537	0.061039417	0	0.02	0.001
200	1.06	0	4.62049E-13	0.25	1E+30	0.000214238	1.968313752	0.119245671	0	0.02	0.001
201	1.05979798	0	3.85297E-13	0.25	10	0.000209424	1.943608513	0.12306045	0	0.02	0.001
202	1.05959596	0	4.40568E-13	0.25	10	0.000212976	1.961839289	0.120245404	0	0.02	0.001
203	1.059393939	0	3.75201E-13	0.25	10	0.00020872	1.939997238	0.123618073	0	0.02	0.001
204	1.059191919	0	3.75201E-13	0.25	10	0.00020872	1.939997238	0.123618073	0	0.02	0.001
205	1.058989899	0	5.55712E-13	0.25	10	0.000219129	1.993416689	0.115369482	0	0.02	0.001
206	1.058787879	0	5.55712E-13	0.25	10	0.000219129	1.993416689	0.115369482	0	0.02	0.001
207	1.058585859	0	1.01735E-12	0.25	10	0.000235154	2.075656259	0.102670725	0	0.02	0.001
208	1.058383838	0	9.78766E-13	0.25	10	0.000234129	2.070398431	0.103482595	0	0.02	0.001
209	1.058181818	0	9.78766E-13	0.25	10	0.000234129	2.070398431	0.103482595	0	0.02	0.001
210	1.057979798	0	9.62079E-12	0.25	10	0.000294692	2.381211328	0.055489427	0	0.02	0.001
211	1.057777778	0	1.43407E-11	0.25	10	0.00030527	2.435499117	0.047106754	0	0.02	0.001
212	1.057575758	0	2.89523E-11	0.25	10	0.000323888	2.531045678	0.032353241	0	0.02	0.001
213	1.057373737	0	1.58739E-11	0.25	10	0.000307962	2.44931305	0.04497372	0	0.02	0.001
214	1.057171717	0	1.2216E-11	0.25	10	0.000301021	2.413690872	0.050474204	0	0.02	0.001
215	1.056969697	0	8.23208E-12	0.25	10	0.000290561	2.360010514	0.058763082	0	0.02	0.001
216	1.056767677	0	1.14835E-12	0.25	10	0.000238364	2.09213009	0.100126971	0	0.02	0.001
217	1.056565657	0	1.14835E-12	0.25	10	0.000238364	2.09213009	0.100126971	0	0.02	0.001
218	1.056363636	0	5.59511E-12	0.25	10	0.000280328	2.307494703	0.066872141	0	0.02	0.001
219	1.056161616	0	2.16485E-12	0.25	10	0.000255165	2.178357042	0.086812516	0	0.02	0.001
220	1.055959596	0	4.88333E-14	0.25	10	0.000154685	1.662686717	0.16643808	0	0.02	0.001
221	1.055757576	0	1.18532E-12	0.25	10	0.000239203	2.09643878	0.099461659	0	0.02	0.001
222	1.055555556	0	1.18532E-12	0.25	10	0.000239203	2.09643878	0.099461659	0	0.02	0.001
223	1.055353535	0	1.5192E-13	0.25	10	0.000184761	1.81703893	0.142604283	0	0.02	0.001
224	1.055151515	0	1.5192E-13	0.25	10	0.000184761	1.81703893	0.142604283	0	0.02	0.001
225	1.054949495	0	1.13257E-13	0.25	10	0.000176978	1.777096691	0.148771835	0	0.02	0.001
226	1.054747475	0	6.70349E-14	0.25	10	0.000163081	1.705771696	0.159785253	0	0.02	0.001
227	1.054545455	0	6.31714E-14	0.25	10	0.000161507	1.697698403	0.161031864	0	0.02	0.001
228	1.054343434	0	4.81881E-14	0.25	10	0.000154333	1.660877814	0.166717396	0	0.02	0.001
229	1.054141414	0	4.31312E-14	0.25	10	0.000151395	1.645800175	0.169045561	0	0.02	0.001
230	1.053939394	0	2.63817E-14	0.25	10	0.000138368	1.578945836	0.179368658	0	0.02	0.001
231	1.053737374	0	3.61643E-14	0.25	10	0.000146726	1.621840458	0.172745223	0	0.02	0.001
232	1.053535354	0	1.80682E-14	0.25	10	0.000128337	1.527467271	0.187317554	0	0.02	0.001
233	1.053333333	0	7.07562E-14	0.25	10	0.000164512	1.713119344	0.15865069	0	0.02	0.001
234	1.053131313	0	3.31703E-14	0.25	10	0.000144436	1.610087499	0.174560019	0	0.02	0.001
235	1.052929293	0	1.83786E-14	0.25	10	0.000128789	1.529784272	0.186959782	0	0.02	0.001
236	1.052727273	0	1.83786E-14	0.25	10	0.000128789	1.529784272	0.186959782	0	0.02	0.001
237	1.052525253	0	2.49798E-14	0.25	10	0.000136921	1.571519992	0.180515295	0	0.02	0.001
238	1.052323232	0	2.49798E-14	0.25	10	0.000136921	1.571519992	0.180515295	0	0.02	0.001
239	1.052121212	0	2.79909E-14	0.25	10	0.000139937	1.586998248	0.178125271	0	0.02	0.001
240	1.051919192	0	1.50956E-14	0.25	10	0.000123574	1.503021301	0.191092299	0	0.02	0.001
241	1.051717172	0	1.54054E-14	0.25	10	0.000124112	1.505784641	0.190665607	0	0.02	0.001
242	1.051515152	0	3.32522E-14	0.25	10	0.000144502	1.610422853	0.174508236	0	0.02	0.001
243	1.051313131	0	2.44687E-14	0.25	10	0.000136373	1.568708489	0.180949425	0	0.02	0.001
244	1.051111111	0	1.30204E-14	0.25	10	0.000119655	1.482908765	0.194197911	0	0.02	0.001
245	1.050909091	0	1.30204E-14	0.25	10	0.000119655	1.482908765	0.194197911	0	0.02	0.001
246	1.050707071	0	2.82592E-14	0.25	10	0.00014019	1.588295723	0.177924925	0	0.02	0.001
247	1.050505051	0	2.99793E-14	0.25	10	0.000141756	1.596331427	0.176684118	0	0.02	0.001
248	1.05030303	0	9.48568E-14	0.25	10	0.00017228	1.752984715	0.152495007	0	0.02	0.001
249	1.05010101	0	3.40605E-14	0.25	10	0.000145138	1.61368931	0.174003857	0	0.02	0.001
250	1.04989899	0	3.40605E-14	0.25	10	0.000145138	1.61368931	0.174003857	0	0.02	0.001
251	1.04969697	0	1.20254E-13	0.25	10	0.000178567	1.785249252	0.147512983	0	0.02	0.001
252	1.049494949	0	1.20254E-13	0.25	10	0.000178567	1.785249252	0.147512983	0	0.02	0.001
253	1.049292929	0	2.56486E-14	0.25	10	0.000137621	1.575113189	0.179960463	0	0.02	0.001
254	1.049090909	0	2.56486E-14	0.25	10	0.000137621	1.575113189	0.179960463	0	0.02	0.001
255	1.048888889	0	2.80506E-14	0.25	10	0.000139994	1.587287936	0.178080539	0	0.02	0.001
256	1.048686869	0	2.80506E-14	0.25	10	0.000139994	1.587287936	0.178080539	0	0.02	0.001
257	1.048484848	0	2.19891E-14	0.25	10	0.000133542	1.554176905	0.183193272	0	0.02	0.001
258	1.048282828	0	2.8583E-14	0.25	10	0.000140492	1.589844869	0.177685719	0	0.02	0.001
259	1.048080808	0	3.20587E-14	0.25	10	0.000143533	1.60545211	0.175275777	0	0.02	0.001
260	1.047878788	0	4.63685E-14	0.25	10	0.000153313	1.655643057	0.167525704	0	0.02	0.001
261	1.047676768	0	4.63685E-14	0.25	10	0.000153313	1.655643057	0.167525704	0	0.02	0.001
262	1.047474747	0	6.70411E-14	0.25	10	0.000163083	1.705784245	0.159783315	0	0.02	0.001
263	1.047272727	0	6.70411E-14	0.25	10	0.000163083	1.705784245	0.159783315	0	0.02	0.001
264	1.047070707	0	1.40369E-13	0.25	10	0.000182666	1.806283944	0.144264979	0	0.02	0.001
265	1.046868687	0	1.40369E-13	0.25	10	0.000182666	1.806283944	0.144264979	0	0.02	0.001
266	1.046666667	0	1.17671E-13	0.25	10	0.000177991	1.78229591	0.147969014	0	0.02	0.001
