Cell_no.	Sw	Sn	k	phi	vol	alpha	n	Swr	Snr	Snr_m	Ss
7292	1.041414141	0	8.53484E-14	0.25	10	0.000169481	1.738619551	0.154713158	0	0.02	0.001
7293	1.041212121	0	8.87219E-15	0.25	10	0.00010949	1.43074	0.202253382	0	0.02	0.001
7294	1.041010101	0	8.87219E-15	0.25	10	0.00010949	1.43074	0.202253382	0	0.02	0.001
7295	1.040808081	0	9.86099E-14	0.25	10	0.000173308	1.758261944	0.151680141	0	0.02	0.001
7296	1.040606061	0	2.13911E-13	0.25	10	0.00019383	1.863579054	0.13541794	0	0.02	0.001
7297	1.04040404	0	3.11525E-13	0.25	10	0.000203792	1.914703863	0.127523668	0	0.02	0.001
7298	1.04020202	0	1.34106E-14	0.25	10	0.000120438	1.48692456	0.193577825	0	0.02	0.001
7299	1.04	0	7.06401E-13	0.25	1E+30	0.000225487	2.026047464	0.110330906	0	0.02	0.001
7300	1.06	0	1.17961E-14	0.25	1E+30	0.000117038	1.46947965	0.196271525	0	0.02	0.001
7301	1.05979798	0	1.17961E-14	0.25	10	0.000117038	1.46947965	0.196271525	0	0.02	0.001
7302	1.05959596	0	3.86028E-13	0.25	10	0.000209474	1.943866242	0.123020654	0	0.02	0.001
7303	1.059393939	0	6.12909E-14	0.25	10	0.000160707	1.693588373	0.161666501	0	0.02	0.001
7304	1.059191919	0	6.12909E-14	0.25	10	0.000160707	1.693588373	0.161666501	0	0.02	0.001
7305	1.058989899	0	1.81488E-12	0.25	10	0.000250492	2.154375911	0.090515484	0	0.02	0.001
7306	1.058787879	0	7.99709E-13	0.25	10	0.000228775	2.04292028	0.107725545	0	0.02	0.001
7307	1.058585859	0	7.99709E-13	0.25	10	0.000228775	2.04292028	0.107725545	0	0.02	0.001
7308	1.058383838	0	4.32259E-13	0.25	10	0.000212471	1.959249921	0.120645233	0	0.02	0.001
7309	1.058181818	0	1.19621E-12	0.25	10	0.000239445	2.097682546	0.099269607	0	0.02	0.001
7310	1.057979798	0	1.19621E-12	0.25	10	0.000239445	2.097682546	0.099269607	0	0.02	0.001
7311	1.057777778	0	4.93807E-14	0.25	10	0.000154981	1.66420263	0.166204006	0	0.02	0.001
7312	1.057575758	0	2.83973E-14	0.25	10	0.000140319	1.588958582	0.177822572	0	0.02	0.001
7313	1.057373737	0	1.92538E-13	0.25	10	0.00019104	1.849262174	0.137628635	0	0.02	0.001
7314	1.057171717	0	2.119E-14	0.25	10	0.000132561	1.549142517	0.183970641	0	0.02	0.001
7315	0.556969697	0.5	2.119E-14	0.25	10	0.000132561	1.549142517	0.183970641	0	0.02	0.001
7316	1.056767677	0	1.52804E-14	0.25	10	0.000123896	1.504675839	0.190836819	0	0.02	0.001
7317	1.056565657	0	7.92275E-14	0.25	10	0.000167509	1.728498665	0.156275941	0	0.02	0.001
7318	1.056363636	0	1.56094E-12	0.25	10	0.000246498	2.133876819	0.093680785	0	0.02	0.001
7319	1.056161616	0	3.44832E-13	0.25	10	0.000206483	1.928518491	0.125390527	0	0.02	0.001
7320	1.055959596	0	5.0352E-14	0.25	10	0.000155497	1.666851772	0.165794947	0	0.02	0.001
7321	1.055757576	0	7.48847E-13	0.25	10	0.000227034	2.033983308	0.109105519	0	0.02	0.001
7322	1.055555556	0	1.01298E-13	0.25	10	0.000174021	1.761920073	0.151115283	0	0.02	0.001
7323	1.055353535	0	1.01298E-13	0.25	10	0.000174021	1.761920073	0.151115283	0	0.02	0.001
7324	1.055151515	0	7.70282E-13	0.25	10	0.000227781	2.037821469	0.108512861	0	0.02	0.001
7325	1.054949495	0	1.62978E-12	0.25	10	0.000247642	2.13974583	0.092774541	0	0.02	0.001
7326	1.054747475	0	1.80236E-13	0.25	10	0.00018929	1.840282789	0.139015158	0	0.02	0.001
7327	1.054545455	0	1.80236E-13	0.25	10	0.00018929	1.840282789	0.139015158	0	0.02	0.001
7328	1.054343434	0	1.87241E-13	0.25	10	0.000190301	1.845468486	0.138214425	0	0.02	0.001
7329	1.054141414	0	1.87241E-13	0.25	10	0.000190301	1.845468486	0.138214425	0	0.02	0.001
7330	1.053939394	0	5.05562E-12	0.25	10	0.000277641	2.293705474	0.069001361	0	0.02	0.001
7331	1.053737374	0	1.47816E-14	0.25	10	0.000123017	1.500162656	0.191533707	0	0.02	0.001
7332	1.053535354	0	1.69506E-14	0.25	10	0.000126645	1.518783914	0.188658366	0	0.02	0.001
7333	1.053333333	0	1.69506E-14	0.25	10	0.000126645	1.518783914	0.188658366	0	0.02	0.001
7334	1.053131313	0	7.64184E-13	0.25	10	0.000227571	2.036740605	0.10867976	0	0.02	0.001
7335	1.052929293	0	2.54791E-13	0.25	10	0.000198464	1.887362881	0.131745438	0	0.02	0.001
7336	1.052727273	0	4.48424E-13	0.25	10	0.000213444	1.964243266	0.119874202	0	0.02	0.001
7337	1.052525253	0	8.84029E-13	0.25	10	0.000231431	2.056553196	0.105620462	0	0.02	0.001
7338	1.052323232	0	8.84029E-13	0.25	10	0.000231431	2.056553196	0.105620462	0	0.02	0.001
7339	1.052121212	0	1.76551E-12	0.25	10	0.000249761	2.150624945	0.091094678	0	0.02	0.001
7340	1.051919192	0	1.76551E-12	0.25	10	0.000249761	2.150624945	0.091094678	0	0.02	0.001
7341	1.051717172	0	1.53794E-13	0.25	10	0.000185086	1.818706499	0.142346791	0	0.02	0.001
7342	1.051515152	0	8.01679E-13	0.25	10	0.00022884	2.043255004	0.10767386	0	0.02	0.001
7343	1.051313131	0	4.8651E-13	0.25	10	0.000215605	1.975329515	0.118162354	0	0.02	0.001
7344	1.051111111	0	1.91166E-13	0.25	10	0.000190851	1.848290029	0.137778745	0	0.02	0.001
7345	1.050909091	0	6.21915E-14	0.25	10	0.000161093	1.695572331	0.161360155	0	0.02	0.001
7346	1.050707071	0	6.21915E-14	0.25	10	0.000161093	1.695572331	0.161360155	0	0.02	0.001
7347	1.050505051	0	6.20956E-14	0.25	10	0.000161052	1.695362527	0.161392551	0	0.02	0.001
7348	1.05030303	0	6.20956E-14	0.25	10	0.000161052	1.695362527	0.161392551	0	0.02	0.001
7349	1.05010101	0	6.20956E-14	0.25	10	0.000161052	1.695362527	0.161392551	0	0.02	0.001
7350	1.04989899	0	1.92413E-13	0.25	10	0.000191023	1.849174219	0.137642216	0	0.02	0.001
7351	1.04969697	0	2.59834E-13	0.25	10	0.000198984	1.890028607	0.131333818	0	0.02	0.001
7352	1.049494949	0	1.16558E-13	0.25	10	0.00017774	1.781003533	0.148168572	0	0.02	0.001
7353	1.049292929	0	1.16558E-13	0.25	10	0.00017774	1.781003533	0.148168572	0	0.02	0.001
7354	1.049090909	0	1.5741E-13	0.25	10	0.000185702	1.821866643	0.141858827	0	0.02	0.001
7355	1.048888889	0	1.5741E-13	0.25	10	0.000185702	1.821866643	0.141858827	0	0.02	0.001
7356	1.048686869	0	7.81865E-14	0.25	10	0.000167158	1.726699768	0.156553712	0	0.02	0.001
7357	1.048484848	0	7.81865E-14	0.25	10	0.000167158	1.726699768	0.156553712	0	0.02	0.001
7358	1.048282828	0	8.80199E-14	0.25	10	0.000170298	1.742811156	0.154065924	0	0.02	0.001
7359	1.048080808	0	8.80199E-14	0.25	10	0.000170298	1.742811156	0.154065924	0	0.02	0.001
7360	1.047878788	0	6.55593E-14	0.25	10	0.000162491	1.702744483	0.16025269	0	0.02	0.001
7361	1.047676768	0	6.55593E-14	0.25	10	0.000162491	1.702744483	0.16025269	0	0.02	0.001
7362	1.047474747	0	3.56277E-14	0.25	10	0.00014633	1.619807481	0.173059139	0	0.02	0.001
7363	1.047272727	0	3.56277E-14	0.25	10	0.00014633	1.619807481	0.173059139	0	0.02	0.001
7364	1.047070707	0	1.9502E-14	0.25	10	0.000130361	1.537852898	0.185713891	0	0.02	0.001
7365	1.046868687	0	1.35403E-14	0.25	10	0.000120693	1.48823405	0.193375625	0	0.02	0.001
7366	1.046666667	0	1.54709E-14	0.25	10	0.000124225	1.506361454	0.19057654	0	0.02	0.001
7367	1.046464646	0	1.77013E-14	0.25	10	0.000127794	1.524677165	0.187748379	0	0.02	0.001
7368	1.046262626	0	7.30277E-15	0.25	10	0.000104331	1.404265079	0.206341422	0	0.02	0.001
7369	1.046060606	0	5.05647E-15	0.25	10	9.459E-05	1.354273418	0.214060722	0	0.02	0.001
7370	1.045858586	0	1.06312E-14	0.25	10	0.000114283	1.455337984	0.198455164	0	0.02	0.001
7371	1.045656566	0	6.33327E-15	0.25	10	0.000100556	1.384893728	0.209332586	0	0.02	0.001
7372	1.045454545	0	6.33327E-15	0.25	10	0.000100556	1.384893728	0.209332586	0	0.02	0.001
7373	1.045252525	0	5.41214E-15	0.25	10	9.63914E-05	1.363518239	0.212633213	0	0.02	0.001
7374	1.045050505	0	3.9826E-15	0.25	10	8.82636E-05	1.321805672	0.219074124	0	0.02	0.001
7375	1.044848485	0	8.11879E-15	0.25	10	0.000107138	1.418671298	0.204116932	0	0.02	0.001
7376	1.044646465	0	4.93009E-15	0.25	10	9.39193E-05	1.350831081	0.21459226	0	0.02	0.001
7377	1.044444444	0	4.93009E-15	0.25	10	9.39193E-05	1.350831081	0.21459226	0	0.02	0.001
7378	1.044242424	0	8.41056E-15	0.25	10	0.000108074	1.42347298	0.203375496	0	0.02	0.001
